date,strategy,cost_bps,turnover
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.04523971116188002
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.07931916073559413
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.07931916073559413
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.07931916073559413
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.07931916073559413
2019-03-01,Maximum Sharpe,0.0,0.16850877310135415
2019-03-01,Maximum Sharpe,5.0,0.16850877310135415
2019-03-01,Maximum Sharpe,10.0,0.16850877310135415
2019-03-01,Maximum Sharpe,25.0,0.16850877310135415
2019-03-01,Equal Weight,0.0,0.0
2019-03-01,Equal Weight,5.0,0.0
2019-03-01,Equal Weight,10.0,0.0
2019-03-01,Equal Weight,25.0,0.0
2019-03-01,Minimum Variance,0.0,0.008407776628928929
2019-03-01,Minimum Variance,5.0,0.008407776628928929
2019-03-01,Minimum Variance,10.0,0.008407776628928929
2019-03-01,Minimum Variance,25.0,0.008407776628928929
2019-03-01,SPY,0.0,0.0
2019-03-01,SPY,5.0,0.0
2019-03-01,SPY,10.0,0.0
2019-03-01,SPY,25.0,0.0
2019-03-01,Shrunk Max Sharpe λ=0.25,0.0,0.12318251947241336
2019-03-01,Shrunk Max Sharpe λ=0.25,5.0,0.12318251947241336
2019-03-01,Shrunk Max Sharpe λ=0.25,10.0,0.12318251947241336
2019-03-01,Shrunk Max Sharpe λ=0.25,25.0,0.12318251947241336
2019-03-01,Shrunk Max Sharpe λ=0.50,0.0,0.024262533845036918
2019-03-01,Shrunk Max Sharpe λ=0.50,5.0,0.024262533845036918
2019-03-01,Shrunk Max Sharpe λ=0.50,10.0,0.024262533845036918
2019-03-01,Shrunk Max Sharpe λ=0.50,25.0,0.024262533845036918
2019-03-01,Shrunk Max Sharpe λ=0.75,0.0,0.009813453001504793
2019-03-01,Shrunk Max Sharpe λ=0.75,5.0,0.009813453001504793
2019-03-01,Shrunk Max Sharpe λ=0.75,10.0,0.009813453001504793
2019-03-01,Shrunk Max Sharpe λ=0.75,25.0,0.009813453001504793
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.11084458833705796
