date,strategy,rolling_12m_return,rolling_12m_volatility,rolling_12m_sharpe
2019-09-23,Equal Weight,0.0964559927184323,0.08937369858152815,0.8554641234712682
2019-09-24,Equal Weight,0.0948951406803975,0.08941205473204168,0.8376403037023384
2019-09-25,Equal Weight,0.09766123859499354,0.08931209845428843,0.8695489182212193
2019-09-26,Equal Weight,0.09708452017318203,0.08930965424157437,0.863115201013717
2019-09-27,Equal Weight,0.0930890149552297,0.08944943175854887,0.8170987061440379
2019-09-30,Equal Weight,0.09367287800200463,0.08945607959583426,0.8235647966562061
2019-10-01,Equal Weight,0.0872531593500756,0.08963947045950443,0.7502627916622725
2019-10-02,Equal Weight,0.0840860259474554,0.08979037222752709,0.7137293716197393
2019-10-03,Equal Weight,0.09353414691578288,0.09005733186384729,0.8165259329129925
2019-10-04,Equal Weight,0.10610150697672549,0.09016387983688205,0.9549445646360171
2019-10-07,Equal Weight,0.11206122260969154,0.08970577173736902,1.0262575175120119
2019-10-08,Equal Weight,0.11130775815118676,0.08974863263237712,1.0173721367454815
2019-10-09,Equal Weight,0.11642684960155636,0.08978139682238155,1.0740181486853206
2019-10-10,Equal Weight,0.11568059790287832,0.08978097584057448,1.065711271314091
2019-10-11,Equal Weight,0.1406263862750914,0.0881016988658365,1.3691720798572147
2019-10-14,Equal Weight,0.14803562533334436,0.0878561938480975,1.4573318024078838
2019-10-15,Equal Weight,0.14419871659560335,0.08769983019398057,1.4161796701418008
2019-10-16,Equal Weight,0.14726890969913398,0.08767690959987309,1.451567012112368
2019-10-17,Equal Weight,0.13420796526003964,0.08657745517445484,1.319142091089521
2019-10-18,Equal Weight,0.13690718625359555,0.08648752356967619,1.3517231321742336
2019-10-21,Equal Weight,0.1514907345523422,0.08589398317590473,1.5308491897861878
2019-10-22,Equal Weight,0.15036811084219304,0.08589713101976341,1.517723692217353
2019-10-23,Equal Weight,0.1540719049225343,0.08588342937797773,1.561091655207158
2019-10-24,Equal Weight,0.15835263261484878,0.08584849655366203,1.6115906296433224
2019-10-25,Equal Weight,0.17702003763293028,0.08444226404674182,1.8594958271845254
2019-10-28,Equal Weight,0.16480887543087008,0.0838163451522642,1.727692554093171
2019-10-29,Equal Weight,0.1734119784734296,0.08336852414371708,1.8401666582098326
2019-10-30,Equal Weight,0.18423600429262232,0.08328862624336394,1.9718899410435156
2019-10-31,Equal Weight,0.1762882189991215,0.0829362555560277,1.8844378486986406
2019-11-01,Equal Weight,0.17973008916048872,0.08305951461483002,1.9230799734527875
2019-11-04,Equal Weight,0.16573835330698672,0.08231078381384332,1.7705863867921998
2019-11-05,Equal Weight,0.16450151340481423,0.08237769108391406,1.7541340562412429
2019-11-06,Equal Weight,0.1628590475331506,0.08235956863124169,1.7345774134975191
2019-11-07,Equal Weight,0.15555883495908351,0.08246716140051889,1.643791694256504
2019-11-08,Equal Weight,0.1401591729927496,0.08171452964309604,1.4704750001935756
2019-11-11,Equal Weight,0.14482754583223634,0.08152681620527931,1.5311225390910466
2019-11-12,Equal Weight,0.1528892646541009,0.08118014565115943,1.6369675563917023
2019-11-13,Equal Weight,0.16509047146208045,0.08054858539338074,1.8012789517468497
2019-11-14,Equal Weight,0.16754042074655495,0.08058552897583111,1.83085502597873
2019-11-15,Equal Weight,0.17272025271747937,0.08062243368708161,1.8942649797726243
2019-11-18,Equal Weight,0.16696990020438474,0.08044213106011613,1.8270264383541877
2019-11-19,Equal Weight,0.16540633131334337,0.0804075804112494,1.808365959647759
2019-11-20,Equal Weight,0.17457414621802947,0.07987875366843006,1.935109639537613
2019-11-21,Equal Weight,0.18220266918283867,0.07921712078719838,2.0475708732025883
2019-11-22,Equal Weight,0.17579127399155214,0.07902546380391637,1.9714060062730236
2019-11-25,Equal Weight,0.18733380079538708,0.07912911383574163,2.1146932233152915
2019-11-26,Equal Weight,0.18166621052515897,0.07884246435561279,2.050496668850635
2019-11-27,Equal Weight,0.18348584661878786,0.07884571688399433,2.0734905214867223
2019-11-29,Equal Weight,0.16369456075949218,0.07803600641782477,1.8413879355911003
2019-12-02,Equal Weight,0.15717668462175438,0.07838675229660302,1.7499983173521414
2019-12-03,Equal Weight,0.157280379045043,0.07838913049419115,1.751268041622376
2019-12-04,Equal Weight,0.14844008192899705,0.07784108636450962,1.6500294115570981
2019-12-05,Equal Weight,0.16567124676547262,0.07630692226669313,1.9090174578965562
2019-12-06,Equal Weight,0.16695601947182426,0.07633263551057967,1.9252056278268581
2019-12-09,Equal Weight,0.17786333579489555,0.07551381252526856,2.0905226542769384
2019-12-10,Equal Weight,0.17898541130598233,0.07549754978677563,2.105835378167871
2019-12-11,Equal Weight,0.18237005556693364,0.07557128205067308,2.1485682280480445
2019-12-12,Equal Weight,0.1785681115675577,0.0755189946309522,2.099711633377161
2019-12-13,Equal Weight,0.18411007360423692,0.07555010657945917,2.1722017484070073
2019-12-16,Equal Weight,0.19870568612449135,0.07499880243937304,2.382780528648469
2019-12-17,Equal Weight,0.21083436243421816,0.0741881897462059,2.5723011046239703
2019-12-18,Equal Weight,0.2073679663516037,0.0741327768588213,2.527464561437215
2019-12-19,Equal Weight,0.22169729198906385,0.0735453951559408,2.742487025345343
2019-12-20,Equal Weight,0.2304690003855674,0.0733129041527363,2.8708315789412358
2019-12-23,Equal Weight,0.2461128651529716,0.07216622208864919,3.1332229761898014
2019-12-24,Equal Weight,0.26228732859232995,0.07115887466293949,3.404878586683391
2019-12-26,Equal Weight,0.24069550760068847,0.06808505484189531,3.2414677217074988
2019-12-27,Equal Weight,0.23809348590459867,0.0680590449564444,3.2044746740741297
2019-12-30,Equal Weight,0.2294782804746136,0.06807566165773213,3.0771391033673603
2019-12-31,Equal Weight,0.22550331492370645,0.0680178048557279,3.0213164826415393
2020-01-02,Equal Weight,0.23408589555167647,0.06830032288518792,3.1344785281843026
