strategy,model,window,window_start,window_end,n_obs,alpha_daily,alpha_annualized,alpha_hac_se,alpha_hac_tstat,alpha_hac_pvalue,r_squared,adjusted_r_squared,residual_std,condition_number,beta_MKT_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
Maximum Sharpe,FF5_MOM,504,2023-04-18,2025-04-21,504,0.00018097349383451318,0.04560532044629732,0.00014656337298592025,1.2347798099044742,0.2169124634864057,0.8723297143554082,0.8707884231806243,0.026588639441494814,268.7227351419142,0.7653400305188303,-0.03284494428085153,-0.0879547714346247,-0.07228634018033997,-0.013904565467251336,-0.0035505044343056708
Maximum Sharpe,FF5_MOM,504,2023-04-19,2025-04-22,504,0.0001695849304061421,0.04273540246234781,0.0001436739985067524,1.1803453106942794,0.23786290376623975,0.8714522812159833,0.8699003972870012,0.02672904011471328,268.6696026159546,0.7614862084337299,-0.0315777670125662,-0.0908272553937602,-0.07215157668809881,-0.012793220696695244,-0.004409176223029068
Maximum Sharpe,FF5_MOM,504,2023-04-20,2025-04-23,504,0.0001475372623600227,0.03717939011472572,0.00014196307670530904,1.0392650383753286,0.29868148993121224,0.8671562541621154,0.8655525067274528,0.027171018712329256,268.1547629199058,0.7587395357209543,-0.027702590418022064,-0.0923116413939606,-0.061937558174969445,-0.014386937707023033,-0.00628805554917701
Maximum Sharpe,FF5_MOM,504,2023-04-21,2025-04-24,504,0.00014453622916544222,0.03642312974969144,0.00014244852933104765,1.0146558188013497,0.31026992144406196,0.8682118213440881,0.8666208171752039,0.027165461497135477,269.5173357385386,0.7589811805257256,-0.02881798188820952,-0.09192399716416122,-0.06342595279108051,-0.015555522246179107,-0.007440897330365882
Maximum Sharpe,FF5_MOM,504,2023-04-24,2025-04-25,504,0.00014520114675162942,0.036590688981410616,0.00014346592102448518,1.0120950377257056,0.31149261480099233,0.8681698212781845,0.8665783100662512,0.027167013835406095,269.4322484453668,0.7580942162929619,-0.029026263005629868,-0.09201388376956575,-0.06627115256464912,-0.01648403955403656,-0.008853607668212578
Maximum Sharpe,FF5_MOM,504,2023-04-25,2025-04-28,504,0.00015318010886436082,0.038601387433818926,0.0001425132175242519,1.0748484352919314,0.2824425912823022,0.8676159758652084,0.8660177783907441,0.027233408124947008,269.6493293858756,0.7578945533195073,-0.028159028100558262,-0.09221896069090853,-0.06657062515926222,-0.017644485443824194,-0.0087523621300729
Maximum Sharpe,FF5_MOM,504,2023-04-26,2025-04-29,504,0.00014004253741813403,0.035290719429369774,0.0001433777069513632,0.9767385766996501,0.3286985917620212,0.8667197815007742,0.8651107647784495,0.027274359553058927,269.6516356565772,0.7582423505335303,-0.027605983455342688,-0.09322304063795803,-0.0655705873547659,-0.01976102871091292,-0.01054201755176671
Maximum Sharpe,FF5_MOM,504,2023-04-27,2025-04-30,504,0.00013272397553521753,0.033446441834874815,0.00014418707091951982,0.9204984516905779,0.35731234175746995,0.8663661173494368,0.8647528310397721,0.0273112906198927,269.64955418657325,0.7582139595131596,-0.02632013646394941,-0.0928277856436309,-0.06490531572191174,-0.020429717166027428,-0.0100802007458674
Maximum Sharpe,FF5_MOM,504,2023-04-28,2025-05-01,504,0.00011671879004916523,0.029413135092389638,0.00014518613047585332,0.8039252073639179,0.4214401711067983,0.8642993582054322,0.8626611210811517,0.027449700785442985,268.2989375380967,0.7565445038028182,-0.03025359711672687,-0.09030410079385157,-0.07328631360686073,-0.01911770849222628,-0.011159233978345735
Maximum Sharpe,FF5_MOM,504,2023-05-01,2025-05-02,504,0.00010852329463883288,0.027347870248985887,0.00014664563690224185,0.7400376644766976,0.459277140650857,0.8638247433199183,0.8621807764384686,0.027504101102229898,268.3665504501075,0.7552310955363115,-0.03103982105784848,-0.0907453303146731,-0.07389940099379924,-0.019273209164070215,-0.011194348294193308
Maximum Sharpe,FF5_MOM,504,2023-05-02,2025-05-05,504,0.00013909199553423305,0.03505118287462673,0.00014589270758216642,0.9533855244676762,0.3403947729975818,0.86107328918168,0.8593961055500705,0.027789921912725085,268.2634964641453,0.7529147868398258,-0.026789383205408406,-0.09551195647869026,-0.07032871357466175,-0.015691011504539783,-0.008369916479012023
